"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"48","middl","class","now","worker","colleg","health","job","year","creat","care","work","hire","give","insur","grow"
"49","boo","homegrown","audienc","colorado","folk","backward","got","member","romney","wind","ryan","congressman","regist","everybodi","applaus"
"50","know","see","feel","kind","probabl","thought","good","mayb","mean","might","particular","figur","someth","sometim","abl"
"51","donald","trump","insult","lgbt","fairer","tim","iwillvotecom","kain","regist","hillaryclintoncom","casino","excit","ballot","zero","patrick"
"52","michigan","veto","displac","simpler","entrepreneur","industri","automot","detroit","auto","export","wast","innov","progrowth","automobil","pen"
"53","scout","â â ","nasa","flag","shuttl","ryan","paul","torch","reelect","space","boy","obamacar","four","mitt","romney"
"54","israel","palestinian","jewish","isra","hama","cuba","cuban","castro","hezbollah","gaza","latin","rocket","regim","hemispher","aipac"
"55","washington","generat","time","futur","face","challeng","promis","american","histori","made","opportun","moment","run","believ","real"
"56","cain","herman","upon","pursuit","gloria","hill","alter","convers","grandkid","happi","tennesse","jeri","atlanta","movi","fred"
"57","tax","cut","incom","pay","rate","lower","rais","percent","busi","credit","gain","code","fair","million","corpor"
"58","gingrich","newt","dakota","pipelin","gasolin","shale","natur","royalti","gas","saudi","newtorg","explor","canada","gallon","format"
"59","iowa","hampshir","tonight","carolina","congratul","huckabe","south","grate","volunt","iowan","campaign","mike","thank","des","staff"
"60","sarkozi","minist","trip","franc","prime","isra","palestinian","european","region","strateg","french","afghanistan","intern","sunni","relationship"
"61","eight","rescu","mayb","mccain","main","moment","middleclass","ceo","twentyon","john","georg","crisi","month","payrol","street"
"62","immigr","illeg","undocu","latino","legal","amnesti","border","deport","hispan","visa","citizenship","comprehens","mexican","unknown","mexico"
"63","oreilli","joe","obama","spread","wealth","fight","senat","biden","drill","oppon","redistribut","pork","plumber","yes","ditch"
"64","deleg","nomine","tuesday","voter","maddow","contest","primari","nomin","won","hillari","super","poll","clinton","win","cast"
"65","orlean","urban","neighborhood","corp","servic","citi","americorp","nonprofit","volunt","gulf","mentor","chicago","storm","communiti","leagu"
"66","billionair","vermont","jail","wealth","fossil","wealthiest","disastr","turnout","inequ","brother","koch","hour","pac","greed","transform"
"67","romney","mitt","ann","massachusett","fee","instanc","nra","regard","governor","mormon","seal","boston","view","apolog","describ"
"68","pakistan","qaeda","taliban","pakistani","musharraf","afghan","afghanistan","brigad","petraeus","surg","civilian","terrorist","oper","strategi","bin"
"69","america","world","one","day","lead","work","american","across","hope","take","around","state","place","differ","way"
"70","isi","assad","nato","russian","syria","syrian","pari","zone","russia","fighter","kurd","arab","territori","coalit","fli"
"71","africanamerican","hillari","donor","rig","corrupt","nafta","email","fbi","illeg","lie","delet","renegoti","inner","jobkil","obamacar"
"72","competit","small","growth","market","project","busi","product","suppli","price","low","owner","depend","produc","current","employ"
"73","wright","wallac","reverend","obama","church","pastor","barack","controversi","somebodi","comment","somehow","distract","stewart","statement","suggest"
"74","africa","asia","diseas","aid","global","malaria","allianc","traffick","human","prolifer","realism","india","intern","latin","partnership"
"75","incred","horribl","gonna","trump","total","indiana","mike","evangel","unbeliev","amaz","tremend","mexico","nice","negoti","penc"
"76","clinton","email","depart","todd","secretari","york","inform","server","committe","level","process","sent","transpar","hampshir","interview"
"77","job","economi","creat","plan","invest","help","econom","billion","grow","propos","money","spend","cost","compani","rise"
"78","boo","deficit","millionair","kick","gateway","wind","audienc","trillion","reason","math","got","folk","oppon","everybodi","write"
"79","evil","strength","cold","poland","berlin","peac","europ","tyrant","soviet","jihad","septemb","allianc","militari","defens","weak"
"80","kudlow","loophol","card","sharehold","code","compact","ceo","homeown","subprim","longterm","lender","shortterm","corpor","credit","stimulus"
"81","must","share","requir","ensur","forc","leadership","respons","greater","nation","valu","seek","restor","today","effort","strength"
"82","Ð²Ðâ","earmark","contract","fanni","freddi","mae","mac","lobbi","lobbyist","disclosur","bid","wast","onlin","katrina","abus"
"83","lobbyist","afford","mccain","georg","john","dream","struggl","relief","page","illinoi","bush","chicago","chang","novemb","offer"
"84","thank","peopl","nation","great","love","countri","heart","life","honor","greatest","serv","valu","friend","unit","two"
"85","scienc","research","scientif","broadband","innov","infrastructur","Ð²Ðâ","math","engin","scientist","sputnik","space","stem","traffic","lab"
"86","maryland","baltimor","janet","dream","action","omalley","overtim","hemispher","row","descent","compassion","depriv","wage","injustic","wire"
"87","gentlemen","karen","santorum","ladi","pennsylvania","somerset","rick","someon","missouri","bella","conserv","counti","contrast","town","race"
"88","enterpris","obamacar","conservat","bureaucrat","recoveri","repeal","creator","unemploy","liber","entitl","freedom","epa","stimulus","unelect","conserv"
"89","disabl","black","prison","sentenc","polic","crimin","crime","incarcer","barbara","justic","baltimor","jordan","offend","jail","charleston"
"90","depart","inform","public","agenc","ensur","administr","investig","establish","institut","law","appoint","task","often","internet","review"
"91","crystal","patterson","invis","sleev","readi","wellesley","lieuten","ring","solut","connecticut","thrill","nurs","health","godgiven","firefight"
"92","will","american","everi","year","govern","make","open","nation","peopl","offic","hous","campaign","lead","strength","pledg"
"93","dickerson","gun","classifi","camerota","parenthood","caucus","berni","madam","sander","cooper","secretari","charleston","clinton","todd","benghazi"
"94","giuliani","mayor","york","citi","commission","interpret","offens","jess","dawson","attorney","accomplish","ronald","imposs","welfar","willi"
"95","greec","greek","paul","euro","monetari","auster","ron","liberti","print","gold","bail","currenc","reserv","gdp","european"
"96","dad","met","kid","busi","littl","small","mom","dream","big","ladi","school","drive","across","famili","went"
"97","cook","rubio","guilti","english","desk","christi","speaker","imagin","cruz","amend","livingston","liberti","adam","cuba","jesus"
"98","childcar","women","workplac","daughter","mother","woman","grandmoth","brain","paid","equal","ledbett","presidentelect","discrimin","girl","babi"
"99","foreclosur","mortgag","lender","broker","subprim","payment","homeown","buyer","loan","homeownership","borrow","hous","lend","penalti","home"
"100","diplomaci","tortur","guantanamo","war","bushcheney","terror","bush","undetermin","georg","combat","intellig","dick","cheney","iraq","qaeda"
